"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14/OSC32_IN","I/O","",""
"9","PC15/OSC32_OUT","I/O","",""
"10","PF0","I/O","FMC_A0","A0"
"11","PF1","I/O","FMC_A1","A1"
"12","PF2","I/O","FMC_A2","A2"
"13","PF3","I/O","FMC_A3","A3"
"14","PF4","I/O","FMC_A4","A4"
"15","PF5","I/O","FMC_A5","A5"
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","",""
"19","PF7","I/O","SPI5_SCK","SPI5_SCK [L3GD20_SCL/SPC]"
"20","PF8","I/O","SPI5_MISO","SPI5_MISO [L3GD20_SDO]"
"21","PF9","I/O","SPI5_MOSI","SPI5_MOSI [L3GD20_SDA/SDI/SDO]"
"22","PF10","I/O","LTDC_DE","ENABLE [LCD-RGB_ENABLE]"
"23","PH0/OSC_IN","I/O","RCC_OSC_IN","PH0-OSC_IN"
"24","PH1/OSC_OUT","I/O","RCC_OSC_OUT","PH1-OSC_OUT"
"25","NRST","Reset","",""
"26","PC0","I/O","FMC_SDNWE","SDNWE"
"27","PC1","Output","GPIO_Output","NCS_MEMS_SPI [L3GD20_CS_I2C/SPI]"
"28","PC2","Output","GPIO_Output","CSX [LCD-RGB_CSX]"
"29","PC3","I/O","",""
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","Power","",""
"33","VDDA","Power","",""
"34","PA0/WKUP","I/O","GPIO_EXTI0","B1 [Blue PushButton]"
"35","PA1","I/O","GPIO_EXTI1","MEMS_INT1 [L3GD20_INT1]"
"36","PA2","I/O","GPIO_EXTI2","MEMS_INT2 [L3GD20_INT2]"
"37","PA3","I/O","LTDC_B5","B5"
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","I/O","LTDC_VSYNC","VSYNC"
"41","PA5","I/O","",""
"42","PA6","I/O","LTDC_G2","G2"
"43","PA7","Output","GPIO_Output","ACP_RST"
"44","PC4","I/O","",""
"45","PC5","I/O","",""
"46","PB0","I/O","LTDC_R3","R3"
"47","PB1","I/O","LTDC_R6","R6"
"48","PB2/BOOT1","Input","GPIO_Input","BOOT1"
"49","PF11","I/O","FMC_SDNRAS","SDNRAS"
"50","PF12","I/O","FMC_A6","A6"
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","FMC_A7","A7"
"54","PF14","I/O","FMC_A8","A8"
"55","PF15","I/O","FMC_A9","A9"
"56","PG0","I/O","FMC_A10","A10"
"57","PG1","I/O","FMC_A11","A11"
"58","PE7","I/O","FMC_D4","D4"
"59","PE8","I/O","FMC_D5","D5"
"60","PE9","I/O","FMC_D6","D6"
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","FMC_D7","D7"
"64","PE11","I/O","FMC_D8","D8"
